I,result
1,problem/concern/make/descript/titl/difficulti/involv/automat/retriev/articl/approxim/titl/usual/relev/content/articl/titl
2,actual/pertin/data/oppos/refer/entir/articl/retriev/automat/respons/inform/request
3,inform/scienc/give/definit/possibl
4,imag/recognit/method/automat/transform/print/text/computerreadi/form
5,special/train/ordinari/research/businessmen/need/proper/inform/manag/unobstruct/use/inform/retriev/system/problem/like/encount
6,possibl/verbal/commun/comput/human/commun/via/spoken/word
7,describ/present/work/plan/system/publish/print/origin/paper/comput/save/byproduct/articl/code/dataprocess/form/use/retriev
8,describ/inform/retriev/index/languag/bear/scienc/gener
9,possibl/automat/grammat/contextu/analysi/articl/inclus/inform/retriev/system
10,use/abstract/mathemat/inform/retriev/eg/group/theori
11,need/inform/consolid/evalu/retriev/scientif/research
12,give/method/high/speed/public/print/distribut/scientif/journal
13,criteria/develop/object/evalu/inform/retriev/dissemin/system
14,futur/automat/medic/diagnosi
15,much/inform/retriev/dissemin/system/well/autom/librari/cost/worth/research/industri
16,system/incorpor/multiprogram/remot/station/inform/retriev/extent/use/futur
17,mean/obtain/larg/volum/high/speed/custom/usabl/inform/retriev/output
18,method/encod/automat/match/automat/draw/structur/extend/two/dimens/like/structur/formula/chemic/compound
19,techniqu/machin/match/machin/search/system/code/match/method
20,test/autom/inform/system
21,need/provid/personnel/inform/field
22,autom/inform/medic/field
23,amount/use/book/librari/relat/need/autom/inform/system
24,educ/train/requir/personnel/inform/field/possibl/train/need/program/provid/train
25,intern/system/exchang/dissemin/inform
26,cost/determin/cost/associ/system/autom/inform
27,computer/inform/retriev/system/computer/index/system
28,computer/inform/system/field/relat/chemistri
29,specif/advantag/computer/index/system
30,inform/dissemin/journal/period
31,inform/system/physic/scienc
32,attempt/computer/mechan/system/gener/librari/problem/method/autom/gener/author/titl/index/system
33,retriev/system/provid/autom/transmiss/inform/user/distanc
34,method/code/use/computer/index/system
35,govern/support/agenc/project/deal/inform/dissemin
36,theori/practic/comput/translat/text/one/nation/languag/anoth/machin/translat/compet/tradit/method/translat/comprehend/nuanc/mean/languag/differ/structur
37,list/word/use/index/classifi/materi/avail/want/list/term/descript/vocabulari/particular/field/schedul/word/relat/meaning/scheme/want/list/test/least/extent/found/use/organ/materi/retriev
38,access/word/inform/retriev/system/kept/date/word/mean/usag/often/chang/list/must/dynam/current/definit/problem/progress/toward/solut/made/provid/necessari/flexibl/system/subject/head/index/word/symbol/use/get/store/data
39,progress/inform/retriev/present/problem/maladjust/disloc/personnel/train/retrain/peopl/use/new/equip/import/level/librarian/assist/technician/student/research/even/execut/need/educ/learn/purpos/valu/use/inform/system/hardwar/program/develop/chang/attitud/skill/tradit/worker/help/learn/newer/techniqu
40,statu/machin/translat/progress/made/use/comput/transfer/one/languag/anoth/degre/autom/problem/stumbl/block/found/consid/insurmount/limit/challeng/field/document/intern/scale
41,alphabet/order/materi/consid/use/tool/inform/retriev/studi/done/compar/effect/alphabet/order/organ/scheme/gener/accept/form/arrang/materi/alphabet/order/easi/way/achiev/form/without/go/great/amount/effort
42,averag/student/research/difficulti/comprehend/vocabulari/inform/retriev/appear/import/new/field/understood/fulli/accept/basic/articl/would/provid/understand/variou/import/aspect/inform/storag/retriev
